City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Detva,SK,48.5608,19.4195,56.75,88,100,3.65,overcast clouds
270,Okakarara,NA,-20.5833,17.4333,51.39,37,73,4.21,broken clouds
271,Matara,LK,5.9485,80.5353,77.77,89,66,10.56,broken clouds
272,Aksarka,RU,66.5606,67.7975,46.87,61,46,5.5,scattered clouds
273,Belmonte,BR,-15.8631,-38.8828,72.1,77,56,6.8,broken clouds
274,Westport,US,41.1415,-73.3579,78.57,61,1,5.99,clear sky
275,Fortuna,US,40.5982,-124.1573,79.2,63,20,4.0,few clouds
276,Mapiripan,CO,2.8892,-72.1256,74.91,93,54,3.98,moderate rain
277,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,52.39,82,100,6.71,overcast clouds
278,Ketchikan,US,55.3422,-131.6461,59.47,67,75,14.97,light rain
279,Dikson,RU,73.5069,80.5464,31.19,93,55,11.25,broken clouds
280,Flinders,AU,-34.5833,150.8552,54.05,89,0,3.53,clear sky
281,Clovis,US,36.8252,-119.7029,99.12,26,20,1.01,few clouds
282,Patacamaya,BO,-17.2333,-67.9167,44.38,67,53,6.44,broken clouds
283,Bambous Virieux,MU,-20.3428,57.7575,69.22,83,4,8.19,clear sky
284,Shangrao,CN,28.4532,117.9686,81.05,85,99,2.28,overcast clouds
285,Motul,MX,21.1,-89.2833,79.99,87,100,1.25,overcast clouds
286,Litovko,RU,49.2361,135.1742,70.88,70,97,7.23,overcast clouds
287,Predivinsk,RU,57.0669,93.4378,50.83,83,100,3.11,overcast clouds
288,Netrakona,BD,24.8833,90.7167,76.89,92,100,10.76,overcast clouds
289,Alanya,TR,36.5438,31.9998,66.33,75,8,3.2,clear sky
290,Kashan,IR,33.9831,51.4364,87.87,16,0,5.1,clear sky
291,Caravelas,BR,-17.7125,-39.2481,70.65,67,100,4.5,overcast clouds
292,Krasnopavlivka,UA,49.1372,36.3272,63.68,84,97,2.84,moderate rain
293,Dickinson,US,29.4608,-95.0513,91.99,65,20,1.01,few clouds
294,Labuhan,ID,-6.8844,112.2051,77.22,88,63,6.55,broken clouds
295,Nichinan,JP,31.6,131.3667,71.28,95,100,13.8,overcast clouds
296,Port Shepstone,ZA,-30.7414,30.455,67.69,57,100,5.82,overcast clouds
297,Porto Novo,BJ,6.4965,2.6036,80.49,82,66,8.39,broken clouds
298,Proletarskiy,RU,50.7914,35.7731,68.09,90,74,5.46,broken clouds
299,Frankfurt,DE,50.1167,8.6833,71.89,68,0,8.05,clear sky
300,Orlik,RU,52.5178,99.825,40.91,76,83,2.66,broken clouds
301,Cayenne,GF,4.9333,-52.3333,82.09,81,75,1.99,broken clouds
302,Akyab,MM,20.15,92.9,79.47,92,100,14.85,light rain
303,Seoul,KR,37.5683,126.9778,74.59,65,0,9.62,clear sky
304,Touros,BR,-5.1989,-35.4608,77.9,85,63,10.85,broken clouds
305,Palmas,BR,-10.2128,-48.3603,78.67,65,40,5.75,scattered clouds
306,Cherskiy,RU,68.75,161.3,60.03,36,14,11.32,few clouds
307,Elko,US,41.0002,-115.5012,90.05,10,0,18.01,clear sky
